family,case_id,method,mean_cost,mean_failures,representation_size,horizon,num_guards,dependency_width,dependency_topology,reuse_bias,probe_cost,failure_penalty,repair_penalty,irreversible_rate,guard_error_rate,false_positive_rate,false_negative_rate,confidence_mode,confidence_threshold,missing_guard_fraction,spurious_guard_fraction,control,relevant_guards,seed
D,D_00003,no_dominance_gcs,32.56,0.0,129.2,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426029
D,D_00003,oracle_assignment,32.0,0.0,32.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426029
D,D_00004,linear_default,133.5,18.166667,32.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426030
D,D_00004,replan_on_failure,57.333333,3.833333,32.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426030
D,D_00004,probe_all_tree,32.64,0.0,8703.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426030
D,D_00004,probe_all_local,32.56,0.0,72.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426030
D,D_00004,myopic_voi,32.56,0.0,79.2,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426030
D,D_00004,belief_cost_proxy,52.666667,3.166667,32.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426030
D,D_00004,behavior_tree_fallback,32.56,0.0,103.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426030
D,D_00004,gcs_eager,32.56,0.0,72.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426030
D,D_00004,gcs_lazy,32.56,0.0,79.2,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426030
D,D_00004,gcs_thresholded,49.466667,2.666667,79.2,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426030
D,D_00004,gcs_robust,33.68,0.0,86.4,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426030
D,D_00004,delayed_gcs,57.586667,3.833333,72.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426030
D,D_00004,no_sharing_gcs,32.56,0.0,4351.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426030
D,D_00004,no_dominance_gcs,32.56,0.0,129.2,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426030
D,D_00004,oracle_assignment,32.0,0.0,32.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426030
D,D_00005,linear_default,114.0,13.333333,32.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426031
D,D_00005,replan_on_failure,48.333333,2.166667,32.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426031
D,D_00005,probe_all_tree,32.64,0.0,8703.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426031
D,D_00005,probe_all_local,32.56,0.0,72.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426031
D,D_00005,myopic_voi,32.56,0.0,79.2,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426031
D,D_00005,belief_cost_proxy,56.333333,3.166667,32.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426031
D,D_00005,behavior_tree_fallback,32.56,0.0,103.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426031
D,D_00005,gcs_eager,32.56,0.0,72.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426031
D,D_00005,gcs_lazy,32.56,0.0,79.2,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426031
D,D_00005,gcs_thresholded,56.36,3.166667,79.2,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426031
D,D_00005,gcs_robust,33.68,0.0,86.4,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426031
D,D_00005,delayed_gcs,48.72,2.166667,72.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426031
D,D_00005,no_sharing_gcs,32.56,0.0,4351.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426031
D,D_00005,no_dominance_gcs,32.56,0.0,129.2,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426031
D,D_00005,oracle_assignment,32.0,0.0,32.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426031
D,D_00006,linear_default,129.0,17.333333,32.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426032
D,D_00006,replan_on_failure,52.0,3.333333,32.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426032
D,D_00006,probe_all_tree,32.64,0.0,8703.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426032
D,D_00006,probe_all_local,32.56,0.0,72.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426032
D,D_00006,myopic_voi,32.56,0.0,79.2,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426032
D,D_00006,belief_cost_proxy,48.0,2.666667,32.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426032
D,D_00006,behavior_tree_fallback,32.56,0.0,103.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426032
D,D_00006,gcs_eager,32.56,0.0,72.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426032
D,D_00006,gcs_lazy,32.56,0.0,79.2,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426032
D,D_00006,gcs_thresholded,46.173333,2.333333,79.2,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426032
D,D_00006,gcs_robust,33.68,0.0,86.4,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426032
D,D_00006,delayed_gcs,52.186667,3.333333,72.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426032
D,D_00006,no_sharing_gcs,32.56,0.0,4351.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426032
D,D_00006,no_dominance_gcs,32.56,0.0,129.2,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426032
D,D_00006,oracle_assignment,32.0,0.0,32.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426032
D,D_00007,linear_default,145.333333,20.666667,32.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,8,426033
D,D_00007,replan_on_failure,56.333333,3.833333,32.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,8,426033
D,D_00007,probe_all_tree,32.64,0.0,8703.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,8,426033
D,D_00007,probe_all_local,32.64,0.0,73.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,8,426033
D,D_00007,myopic_voi,32.64,0.0,80.3,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,8,426033
D,D_00007,belief_cost_proxy,52.333333,3.166667,32.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,8,426033
D,D_00007,behavior_tree_fallback,32.64,0.0,104.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,8,426033
D,D_00007,gcs_eager,32.64,0.0,73.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,8,426033
D,D_00007,gcs_lazy,32.64,0.0,80.3,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,8,426033
D,D_00007,gcs_thresholded,49.52,2.666667,80.3,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,8,426033
D,D_00007,gcs_robust,33.92,0.0,87.6,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,8,426033
D,D_00007,delayed_gcs,56.546667,3.833333,73.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,8,426033
D,D_00007,no_sharing_gcs,32.64,0.0,8703.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,8,426033
D,D_00007,no_dominance_gcs,32.64,0.0,130.55,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,8,426033
D,D_00007,oracle_assignment,32.0,0.0,32.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,8,426033
D,D_00008,linear_default,121.166667,15.5,32.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426034
D,D_00008,replan_on_failure,49.333333,2.666667,32.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426034
D,D_00008,probe_all_tree,32.64,0.0,8703.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426034
D,D_00008,probe_all_local,32.56,0.0,72.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426034
D,D_00008,myopic_voi,32.56,0.0,79.2,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426034
D,D_00008,belief_cost_proxy,45.333333,2.0,32.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426034
D,D_00008,behavior_tree_fallback,32.56,0.0,103.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426034
D,D_00008,gcs_eager,32.56,0.0,72.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426034
D,D_00008,gcs_lazy,32.56,0.0,79.2,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426034
D,D_00008,gcs_thresholded,45.56,2.0,79.2,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426034
D,D_00008,gcs_robust,33.68,0.0,86.4,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426034
D,D_00008,delayed_gcs,49.6,2.666667,72.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426034
D,D_00008,no_sharing_gcs,32.56,0.0,4351.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426034
D,D_00008,no_dominance_gcs,32.56,0.0,129.2,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426034
D,D_00008,oracle_assignment,32.0,0.0,32.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,7,426034
D,D_00009,linear_default,109.333333,13.0,32.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,8,426035
D,D_00009,replan_on_failure,51.0,2.666667,32.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,8,426035
D,D_00009,probe_all_tree,32.64,0.0,8703.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,8,426035
D,D_00009,probe_all_local,32.64,0.0,73.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,8,426035
D,D_00009,myopic_voi,32.64,0.0,80.3,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,8,426035
D,D_00009,belief_cost_proxy,57.0,3.666667,32.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,8,426035
D,D_00009,behavior_tree_fallback,32.64,0.0,104.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,8,426035
D,D_00009,gcs_eager,32.64,0.0,73.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,8,426035
D,D_00009,gcs_lazy,32.64,0.0,80.3,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,8,426035
D,D_00009,gcs_thresholded,52.213333,3.0,80.3,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,8,426035
D,D_00009,gcs_robust,33.92,0.0,87.6,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,8,426035
D,D_00009,delayed_gcs,51.386667,2.666667,73.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,8,426035
D,D_00009,no_sharing_gcs,32.64,0.0,8703.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,8,426035
D,D_00009,no_dominance_gcs,32.64,0.0,130.55,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,8,426035
D,D_00009,oracle_assignment,32.0,0.0,32.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,8,426035
D,D_00010,linear_default,135.0,17.666667,32.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,8,426036
D,D_00010,replan_on_failure,59.0,4.166667,32.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,8,426036
D,D_00010,probe_all_tree,32.64,0.0,8703.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,8,426036
D,D_00010,probe_all_local,32.64,0.0,73.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,8,426036
D,D_00010,myopic_voi,32.64,0.0,80.3,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,8,426036
D,D_00010,belief_cost_proxy,55.0,3.5,32.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,8,426036
D,D_00010,behavior_tree_fallback,32.64,0.0,104.0,32,8,1,clustered,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,8,426036
