probe_cost,failure_penalty,irreversible_rate,method,rows,mean_cost,mean_failures,mean_representation_size,mean_gcs_cost,mean_replan_cost,delta_vs_replan
0.02,4.0,0.5,gcs_eager,10,64.314,0.0,272.7,64.314,111.975,-47.661
0.02,4.0,0.5,gcs_lazy,10,64.314,0.0,299.97,64.314,111.975,-47.661
0.02,4.0,0.5,oracle_assignment,10,64.0,0.0,64.0,64.314,111.975,-47.975
0.02,4.0,0.5,probe_all_local,10,64.314,0.0,272.7,64.314,111.975,-47.661
0.02,4.0,0.5,replan_on_failure,10,111.975,6.8625,64.0,64.314,111.975,0.0
0.02,4.0,0.75,behavior_tree_fallback,10,64.32,0.0,208.0,64.32,115.425,-51.105
0.02,4.0,0.75,gcs_eager,10,64.32,0.0,273.0,64.32,115.425,-51.105
0.02,4.0,0.75,gcs_lazy,10,64.32,0.0,300.3,64.32,115.425,-51.105
0.02,4.0,0.75,oracle_assignment,10,64.0,0.0,64.0,64.32,115.425,-51.425
0.02,4.0,0.75,probe_all_local,10,64.32,0.0,273.0,64.32,115.425,-51.105
0.02,4.0,0.75,replan_on_failure,10,115.425,6.875,64.0,64.32,115.425,0.0
0.02,8.0,0.0,behavior_tree_fallback,10,64.314,0.0,207.7,64.314,134.875,-70.561
0.02,8.0,0.0,gcs_eager,10,64.314,0.0,272.7,64.314,134.875,-70.561
0.02,8.0,0.0,gcs_lazy,10,64.314,0.0,299.97,64.314,134.875,-70.561
0.02,8.0,0.0,oracle_assignment,10,64.0,0.0,64.0,64.314,134.875,-70.875
0.02,8.0,0.0,probe_all_local,10,64.314,0.0,272.7,64.314,134.875,-70.561
0.02,8.0,0.0,replan_on_failure,10,134.875,7.0875,64.0,64.314,134.875,0.0
0.02,8.0,0.25,behavior_tree_fallback,10,64.318,0.0,207.9,64.318,142.65,-78.332
0.02,8.0,0.25,gcs_eager,10,64.318,0.0,272.9,64.318,142.65,-78.332
0.02,8.0,0.25,gcs_lazy,10,64.318,0.0,300.19,64.318,142.65,-78.332
0.02,8.0,0.25,oracle_assignment,10,64.0,0.0,64.0,64.318,142.65,-78.65
0.02,8.0,0.25,probe_all_local,10,64.318,0.0,272.9,64.318,142.65,-78.332
0.02,8.0,0.25,replan_on_failure,10,142.65,6.95,64.0,64.318,142.65,0.0
0.02,8.0,0.5,behavior_tree_fallback,10,64.318,0.0,207.9,64.318,146.95,-82.632
0.02,8.0,0.5,gcs_eager,10,64.318,0.0,272.9,64.318,146.95,-82.632
0.02,8.0,0.5,gcs_lazy,10,64.318,0.0,300.19,64.318,146.95,-82.632
0.02,8.0,0.5,oracle_assignment,10,64.0,0.0,64.0,64.318,146.95,-82.95
0.02,8.0,0.5,probe_all_local,10,64.318,0.0,272.9,64.318,146.95,-82.632
0.02,8.0,0.5,replan_on_failure,10,146.95,7.05,64.0,64.318,146.95,0.0
0.02,8.0,0.75,behavior_tree_fallback,10,64.312,0.0,207.6,64.312,149.325,-85.013
0.02,8.0,0.75,gcs_eager,10,64.312,0.0,272.6,64.312,149.325,-85.013
0.02,8.0,0.75,gcs_lazy,10,64.312,0.0,299.86,64.312,149.325,-85.013
0.02,8.0,0.75,oracle_assignment,10,64.0,0.0,64.0,64.312,149.325,-85.325
0.02,8.0,0.75,probe_all_local,10,64.312,0.0,272.6,64.312,149.325,-85.013
0.02,8.0,0.75,replan_on_failure,10,149.325,6.5875,64.0,64.312,149.325,0.0
0.08,0.5,0.0,behavior_tree_fallback,10,65.264,0.0,207.8,65.264,81.21875,-15.95475
0.08,0.5,0.0,gcs_eager,10,65.264,0.0,272.8,65.264,81.21875,-15.95475
0.08,0.5,0.0,gcs_lazy,10,65.264,0.0,300.08,65.264,81.21875,-15.95475
0.08,0.5,0.0,oracle_assignment,10,64.0,0.0,64.0,65.264,81.21875,-17.21875
0.08,0.5,0.0,probe_all_local,10,65.264,0.0,272.8,65.264,81.21875,-15.95475
0.08,0.5,0.0,replan_on_failure,10,81.21875,6.8875,64.0,65.264,81.21875,0.0
0.08,0.5,0.25,behavior_tree_fallback,10,65.256,0.0,207.7,65.256,82.021875,-16.765875
0.08,0.5,0.25,gcs_eager,10,65.256,0.0,272.7,65.256,82.021875,-16.765875
0.08,0.5,0.25,gcs_lazy,10,65.256,0.0,299.97,65.256,82.021875,-16.765875
0.08,0.5,0.25,oracle_assignment,10,64.0,0.0,64.0,65.256,82.021875,-18.021875
0.08,0.5,0.25,probe_all_local,10,65.256,0.0,272.7,65.256,82.021875,-16.765875
0.08,0.5,0.25,replan_on_failure,10,82.021875,7.025,64.0,65.256,82.021875,0.0
0.08,0.5,0.5,behavior_tree_fallback,10,65.272,0.0,207.9,65.272,82.253125,-16.981125
0.08,0.5,0.5,gcs_eager,10,65.272,0.0,272.9,65.272,82.253125,-16.981125
